caption,sentiment_label,like_count,comment_count,engagement_rate
jumat pens hasil catat nama bagai satusatunya politeknik yang raih posisi top early stage startup dalam ajang gengsi pertamuda seed and scale prestasi ini jadi bangga sendiri bagi dua mahasiswa aktif pens muhammad hariz izzuddin dan muhammad khusnul khuluq lalu startup inovatif nama aitoma artificial intelligence automation industry mereka hadir solusi canggih untuk prediksi rusa dalam industri solusi ini tidak hanya pasti produktivitas dan efisiensi operasional tetap jaga tetapi juga dukung lanjut ekonomi nasional di antara tim startup dari bagai guru tinggi nama di indonesia yang saing di pertamuda aitoma hasil bukti bahwa institusi vokasi mampu lahir inovator muda daya saing global berita lengkap dapat baca di politeknik politeknikjoss pens pensjoss vokasikuatmenguatkanindonesia kampusvokasi kampusinovasi pertamudaseedandscale earlystagestartup aitomahayago,positive,1689,7,5.417145777437077
mahasiswa politeknik elektronika negeri pens lolos beasiswa iivosma program tukar ajar dan magang luar negeri indonesian international vocation student mobility award iivosma program ini beri sempat bagi mahasiswa vokasi d dan sarjana terap untuk ajar di industri luar negeri serta mahasiswa dapat pilih salah satu skema program lama satu semester politeknik politeknikjoss pens pensjoss vokasikuatmenguatkanindonesia iivosma studentexchange,positive,1615,80,5.413951705634343
sobatpens scimago institutions rankings sir adalah salah satu lembaga internasional yang laku peringkat alhamdulillah di tahun rilis capai politeknik elektronika negeri pens dengan predikat antara guru tinggi dengan ranking di indonesia kategori inovasi politeknik dengan ranking bidang teknik di asia tenggara sumber politeknik politeknikjoss pens pensjoss vokasikuatmenguatkanindonesia kampusinovasi,positive,1685,4,5.394787274817938
direktur dan keluarga besar politeknik elektronika negeri turut duka cita atas tinggal bapak anur rofiq nansur st mt dosen teknik elektro industri mari hatur doa moga almarhum husnul khotimah ampun khilaf dan terima amal sholehnya aamiin ya robbal alamin,positive,1646,37,5.3756228440015335
surakarta ikut adalah rekapitulasi juara cabang kontes robot indonesia kri nasional hitung tiga hari sejak selasa hingga jumat yang dituanrumahi universitas muhammadiyah surakarta ums berkat juang dan kerja keras tim robot pens hasil meraihjuaraumum politeknik politeknikjoss pens pensjoss vokasikuatmenguatkanindonesia kampusinovasikri,positive,1650,10,5.302159192538649
selamat atas capai politeknik elektronika negeri yang raih peringkat pada peringkat bidang mahasiswa vokasi tahun peringkat ini dalam rangka tingkat kualitas guru tinggi dan upaya laksana peringkat bidang mahasiswa guru tinggi di lingkung menteri didik dan budaya pada tahun pensjoss politeknikjoss vokasikuatmenguatkan,positive,1654,4,5.29577104893318
selamat untuk calon mahasiswa baru politeknik elektronika negeri yang lolos pada seleksi sbmpn selamat gabung jadi keluarga besar politeknik elektronika negeri jangan lupa laku daftar ulang di tgl juli juli sampai jam wib tetap semangat dan sukses untuk depan untuk informasi umum dan daftar ulang kunjung pmbpensacid pens politeknik pensjoss sbmpn,positive,1382,252,5.2191133256675615
politeknik elektronika negeri pens gelar giat kenal hidup kampus bagi mahasiswa baru pkkmb yang ikut cara resmi oleh mahasiswa baru dari program studi giat yang laksana cara hybrid ini akan langsung lama tiga hari dari hari senin hingga rabu hadir bagai materi yang rancang untuk bekal mahasiswa baru dengan tahu putar sistem akademik etika budaya serta nilainilai yang junjung tinggi di pens lalu pkkmb mahasiswa harap mampu adaptasi dengan cepat bangun jejaring positif serta tumbuh rasa bangga dan tanggung jawab bagai bagi dari keluarga besar pens belum mulai jalan akademik mereka lengkap dapat baca di politeknik politeknikjoss pens pensjoss diktisaintekberdampak kampusberdampak kampusinovasi banggapens pkkmb,positive,1610,5,5.158425961415613
keluarga besar politeknik elektronika negeri megucapkan terima kasih atas abdi dan dedikasi kepada bapak aliridho barakbah skom phd bagai direktur pens periode moga prestasi dan sukses yang telah capai dapat jadi inspirasi untuk maju pens politeknik politeknikjoss pens pensjoss diktisaintekberdampak kampusinovasi banggapens direkturpens,positive,1603,4,5.132873386993739
selamat dan sukses kepada politeknik elektronika negeri yang hasil raih predikat unggul dalam akreditasi guru tinggi oleh banpt nomor sk banpt no skbanptakkpptix politeknik politeknikjoss pens pensjoss vokasikuatmenguatkanindonesia akreditasi banpt,positive,1574,10,5.059409735530855
jalan tim cakrawala skala caksa pens dalam singapore amazing flying machine competition safmc resmi tutup dengan oleh bangga yakni nd place championship award pada kategori d manmachine tim caksa telah lalu rangkai kompetisi yang liput demo presentasi dan challenge mission sejak selasa hingga kamis tempat di singapore expo hall b kompetisi ini temu guru tinggi gengsi asal bagai negara capai sebut kembali tegas komitmen tim untuk terus kembang riset dan inovasi khusus di bidang aeronautika lengkap dapat baca di politeknik politeknikjoss pens pensjoss banggapens kampusvokasi kampustradisijuara kampusinovasi teamcakrawalaskala caksagen flyhighcaksa safmc,positive,1569,8,5.037051232911716
salah satu rangkai giat kenal hidup kampus yakni technogear pens sukses helat lama tiga hari pada dan giat sebut langsung guna kenal bagai aktivitas organisasi di pens seperti badan eksekutif mahasiswa bem himpun mahasiswa jurus hmj dewan wakil mahasiswa dpm dan dewan konstitusi mahasiswa dkm tak hanya itu unit giat mahasiswa ukm juga turut riah giat ini dengan beri bagai informasi harap selenggara giat ini dapat bantu mahasiswa baru adaptasi dengan hidup kampus dan temu minat serta bakat mereka berita lengkap dapat baca di politeknik politeknikjoss pens pensjoss vokasikuatmenguatkanindonesia kampusinovasi pkkmbxtechnogear technogearpens,positive,1562,6,5.0083045866871085
dalam rangka kuat sinergi antar guru tinggi jajar direksi politeknik elektronika negeri pens laku kunjung silaturahmi ke institut teknologi puluh nopember its pada kamis yang tempat di ruang tamu rektor its lantai gedung rektorat giat ini jadi bagi dari komitmen pens untuk jalin kolaborasi strategis dengan institusi didik tinggi khusus dalam kembang didik kolaborasi riset serta inovasi teknologi lalu temu ini dua institusi bahas potensi kerja sama lintas bidang yang lanjut guna kuat kontribusi nyata bagi maju didik tinggi nasional dan tingkat daya saing sdm indonesia di tingkat global lengkap dapat baca di politeknik politeknikjoss pens pensjoss diktisaintekberdampak kampusinovasi banggapens,positive,1549,4,4.960393509646097
selamat atas capai politeknik elektronika negeri dalam harga gengsi pada vokasi inovasi anugerah sebut selenggara oleh direktorat akademik didik tinggi vokasi aptv terima kasih yang luar biasa kepada seluruh civitas akademika mitra dan aptv diktivokasi yang telah dukung dan beri percaya sama bangun pens jadi kampusinovasi politeknik politeknikjoss pens pensjoss vokasikuatmenguatkanindonesia banggapens vokasiberinovasi,positive,1536,3,4.915676504407819
surakarta tepat pukul wib robot tengah pasuk lapang untuk siap rebut juara kontes robot indonesia kri nasional giat sebut siar cara langsung lalu akun youtube universitas muhammadiyah surakarta ums pada jumat final sekaligus awarding ini jadi nanti panjang telah kompetisi yang penuh tegang mulai rabu hingga jumat sore ini kini tim eilero eros dan ersow sedang siap performa baik untuk hadap babak final dan bawa kabar bangga bagi almamater riuh tonton tampak makin puncak di edutorium ums iring dengan tampil tim robot masingmasing wakil institusi oleh juara pada tutup dan awarding kri nasional sebut jadi akhir dari segala juang serta harap mampu dorong semangat mahasiswa pens untuk terus toreh prestasi berita lengkap dapat baca di politeknik politeknikjoss pens pensjoss vokasikuatmenguatkanindonesia kampusvokasi kampustradisijuara kampusinovasi krinasional ums,positive,1532,5,4.909288360802351
selamat dan sukses atas raih predikat akreditasi unggul program studi sarjana terap teknik informatika politeknik elektronika negeri oleh lembaga akreditasi mandiri informatikan dan komputer lam infokom politeknik politeknikjoss pensjoss vokasikuatmenguatkanindonesia kampusvokasi kampusinovasi akreditasi unggul teknikinformatika,positive,1514,4,4.848600996550402
alhamdulillah politeknik elektronika negeri hasil tahan peringkat pertama politeknik baik di indonesia dan peringkat dua baik di asia tenggara versi webometrics januari tahun peringkat besar politeknik baik di asia bidang teknik tahun versi scimago institution ranking februari politeknik politeknikjoss pens pensjoss vokasikuatmenguatkanindonesia webometric scimago,positive,1497,17,4.835824709339466
